market_code,game_code,draw_no,draw_date,pool_code,number_1,number_2,number_3,number_4,number_5,number_6,number_7,number_8,number_9,number_10,number_11,number_12,number_13,number_14,number_15,number_16,number_17,number_18,number_19,number_20,special_number,source_reference
HK,HK_MARKSIX,F0001,2024-01-01,main,9,24,29,40,48,49,,,,,,,,,,,,,,,10,Numeris固定測試fixture
HK,HK_MARKSIX,F0002,2024-01-02,main,9,13,22,28,36,46,,,,,,,,,,,,,,,12,Numeris固定測試fixture
HK,HK_MARKSIX,F0003,2024-01-03,main,8,9,30,33,35,47,,,,,,,,,,,,,,,29,Numeris固定測試fixture
HK,HK_MARKSIX,F0004,2024-01-04,main,18,23,30,38,43,48,,,,,,,,,,,,,,,21,Numeris固定測試fixture
HK,HK_MARKSIX,F0005,2024-01-05,main,1,14,16,19,40,48,,,,,,,,,,,,,,,35,Numeris固定測試fixture
HK,HK_MARKSIX,F0006,2024-01-06,main,6,7,11,17,33,40,,,,,,,,,,,,,,,18,Numeris固定測試fixture
HK,HK_MARKSIX,F0007,2024-01-07,main,1,19,21,28,34,38,,,,,,,,,,,,,,,2,Numeris固定測試fixture
HK,HK_MARKSIX,F0008,2024-01-08,main,1,3,10,14,28,35,,,,,,,,,,,,,,,43,Numeris固定測試fixture
HK,HK_MARKSIX,F0009,2024-01-09,main,8,17,18,25,30,39,,,,,,,,,,,,,,,45,Numeris固定測試fixture
HK,HK_MARKSIX,F0010,2024-01-10,main,10,15,16,17,24,42,,,,,,,,,,,,,,,8,Numeris固定測試fixture
HK,HK_MARKSIX,F0011,2024-01-11,main,11,12,23,26,28,31,,,,,,,,,,,,,,,49,Numeris固定測試fixture
HK,HK_MARKSIX,F0012,2024-01-12,main,13,14,16,18,22,42,,,,,,,,,,,,,,,24,Numeris固定測試fixture
HK,HK_MARKSIX,F0013,2024-01-13,main,4,5,19,33,36,49,,,,,,,,,,,,,,,21,Numeris固定測試fixture
HK,HK_MARKSIX,F0014,2024-01-14,main,12,17,23,26,35,47,,,,,,,,,,,,,,,9,Numeris固定測試fixture
HK,HK_MARKSIX,F0015,2024-01-15,main,15,21,32,37,42,44,,,,,,,,,,,,,,,25,Numeris固定測試fixture
HK,HK_MARKSIX,F0016,2024-01-16,main,7,8,19,30,33,38,,,,,,,,,,,,,,,17,Numeris固定測試fixture
HK,HK_MARKSIX,F0017,2024-01-17,main,2,7,13,19,23,34,,,,,,,,,,,,,,,30,Numeris固定測試fixture
HK,HK_MARKSIX,F0018,2024-01-18,main,1,7,10,19,26,40,,,,,,,,,,,,,,,9,Numeris固定測試fixture
HK,HK_MARKSIX,F0019,2024-01-19,main,3,12,20,30,35,44,,,,,,,,,,,,,,,24,Numeris固定測試fixture
HK,HK_MARKSIX,F0020,2024-01-20,main,7,11,25,26,38,47,,,,,,,,,,,,,,,32,Numeris固定測試fixture
HK,HK_MARKSIX,F0021,2024-01-21,main,4,10,37,38,42,45,,,,,,,,,,,,,,,22,Numeris固定測試fixture
HK,HK_MARKSIX,F0022,2024-01-22,main,1,3,18,19,22,48,,,,,,,,,,,,,,,35,Numeris固定測試fixture
HK,HK_MARKSIX,F0023,2024-01-23,main,4,5,19,31,42,44,,,,,,,,,,,,,,,38,Numeris固定測試fixture
HK,HK_MARKSIX,F0024,2024-01-24,main,15,18,23,28,31,34,,,,,,,,,,,,,,,30,Numeris固定測試fixture
HK,HK_MARKSIX,F0025,2024-01-25,main,22,23,26,29,30,39,,,,,,,,,,,,,,,46,Numeris固定測試fixture
HK,HK_MARKSIX,F0026,2024-01-26,main,7,18,25,33,44,46,,,,,,,,,,,,,,,42,Numeris固定測試fixture
HK,HK_MARKSIX,F0027,2024-01-27,main,2,7,9,29,31,35,,,,,,,,,,,,,,,41,Numeris固定測試fixture
HK,HK_MARKSIX,F0028,2024-01-28,main,4,9,30,35,44,46,,,,,,,,,,,,,,,20,Numeris固定測試fixture
HK,HK_MARKSIX,F0029,2024-01-29,main,4,5,31,35,40,41,,,,,,,,,,,,,,,18,Numeris固定測試fixture
HK,HK_MARKSIX,F0030,2024-01-30,main,16,23,24,29,35,39,,,,,,,,,,,,,,,13,Numeris固定測試fixture
HK,HK_MARKSIX,F0031,2024-01-31,main,9,16,24,28,39,43,,,,,,,,,,,,,,,18,Numeris固定測試fixture
HK,HK_MARKSIX,F0032,2024-02-01,main,20,23,36,37,40,42,,,,,,,,,,,,,,,10,Numeris固定測試fixture
HK,HK_MARKSIX,F0033,2024-02-02,main,9,19,22,30,36,44,,,,,,,,,,,,,,,11,Numeris固定測試fixture
HK,HK_MARKSIX,F0034,2024-02-03,main,1,15,16,22,35,41,,,,,,,,,,,,,,,39,Numeris固定測試fixture
HK,HK_MARKSIX,F0035,2024-02-04,main,4,22,23,39,40,43,,,,,,,,,,,,,,,30,Numeris固定測試fixture
HK,HK_MARKSIX,F0036,2024-02-05,main,5,20,21,23,35,45,,,,,,,,,,,,,,,39,Numeris固定測試fixture
HK,HK_MARKSIX,F0037,2024-02-06,main,24,26,28,32,39,45,,,,,,,,,,,,,,,29,Numeris固定測試fixture
HK,HK_MARKSIX,F0038,2024-02-07,main,8,19,32,36,37,49,,,,,,,,,,,,,,,10,Numeris固定測試fixture
HK,HK_MARKSIX,F0039,2024-02-08,main,7,12,32,39,40,43,,,,,,,,,,,,,,,27,Numeris固定測試fixture
HK,HK_MARKSIX,F0040,2024-02-09,main,1,9,24,33,34,48,,,,,,,,,,,,,,,3,Numeris固定測試fixture
HK,HK_MARKSIX,F0041,2024-02-10,main,12,21,29,37,43,47,,,,,,,,,,,,,,,2,Numeris固定測試fixture
HK,HK_MARKSIX,F0042,2024-02-11,main,2,4,7,13,22,35,,,,,,,,,,,,,,,49,Numeris固定測試fixture
