run_uuid,game_code,target_draw_no,cutoff_draw_no,preset_code,random_seed,ticket_index,pool_1_numbers,pool_2_numbers,hot_count,warm_count,cold_count,odd_count,high_count,sum,span,ac,last_draw_overlap,preference_score,diversity_score,locked,generated_at
ba67e021-cafb-4d18-95da-0167624e9d7e,TW_LOTTO649,115000067,115000066,VIDEO_FIVE_STEP_V1,6492026,1,05 14 17 36 37 48,,2,2,2,3,3,157,43,8,1,0.700868,0.0,False,2026-07-23T08:18:32.334415
ba67e021-cafb-4d18-95da-0167624e9d7e,TW_LOTTO649,115000067,115000066,VIDEO_FIVE_STEP_V1,6492026,2,03 12 21 28 32 49,,2,2,2,3,3,145,46,9,0,0.680903,1.0,False,2026-07-23T08:18:32.334415
ba67e021-cafb-4d18-95da-0167624e9d7e,TW_LOTTO649,115000067,115000066,VIDEO_FIVE_STEP_V1,6492026,3,04 15 16 25 27 44,,2,2,2,3,3,131,40,8,2,0.677951,1.0,False,2026-07-23T08:18:32.334415
ba67e021-cafb-4d18-95da-0167624e9d7e,TW_LOTTO649,115000067,115000066,VIDEO_FIVE_STEP_V1,6492026,4,05 10 20 39 42 43,,2,2,2,3,3,159,38,10,1,0.691493,0.909091,False,2026-07-23T08:18:32.334415
ba67e021-cafb-4d18-95da-0167624e9d7e,TW_LOTTO649,115000067,115000066,VIDEO_FIVE_STEP_V1,6492026,5,01 04 05 29 32 38,,2,2,2,3,3,109,37,8,2,0.67066,0.909091,False,2026-07-23T08:18:32.334415
ba67e021-cafb-4d18-95da-0167624e9d7e,TW_LOTTO649,115000067,115000066,VIDEO_FIVE_STEP_V1,6492026,6,15 17 18 32 39 46,,2,2,2,3,3,167,31,8,0,0.663542,0.909091,False,2026-07-23T08:18:32.334415
ba67e021-cafb-4d18-95da-0167624e9d7e,TW_LOTTO649,115000067,115000066,VIDEO_FIVE_STEP_V1,6492026,7,04 17 26 28 31 35,,2,2,2,3,4,141,31,9,1,0.646875,0.909091,False,2026-07-23T08:18:32.334415
ba67e021-cafb-4d18-95da-0167624e9d7e,TW_LOTTO649,115000067,115000066,VIDEO_FIVE_STEP_V1,6492026,8,02 03 18 31 43 48,,2,2,2,3,3,145,46,10,0,0.649479,0.909091,False,2026-07-23T08:18:32.334415
ba67e021-cafb-4d18-95da-0167624e9d7e,TW_LOTTO649,115000067,115000066,VIDEO_FIVE_STEP_V1,6492026,9,09 15 20 33 37 38,,2,2,2,4,3,152,29,8,0,0.633333,0.909091,False,2026-07-23T08:18:32.334415
ba67e021-cafb-4d18-95da-0167624e9d7e,TW_LOTTO649,115000067,115000066,VIDEO_FIVE_STEP_V1,6492026,10,03 08 34 37 39 40,,2,2,2,3,4,161,37,7,0,0.603299,0.909091,False,2026-07-23T08:18:32.334415
